date,state,epidemiological_week_2019,epidemiological_week_2020,deaths_indeterminate_2019,deaths_respiratory_failure_2019,deaths_others_2019,deaths_pneumonia_2019,deaths_septicemia_2019,deaths_sars_2019,deaths_covid19,deaths_indeterminate_2020,deaths_respiratory_failure_2020,deaths_others_2020,deaths_pneumonia_2020,deaths_septicemia_2020,deaths_sars_2020,deaths_total_2019,deaths_total_2020,new_deaths_indeterminate_2019,new_deaths_respiratory_failure_2019,new_deaths_others_2019,new_deaths_pneumonia_2019,new_deaths_septicemia_2019,new_deaths_sars_2019,new_deaths_covid19,new_deaths_indeterminate_2020,new_deaths_respiratory_failure_2020,new_deaths_others_2020,new_deaths_pneumonia_2020,new_deaths_septicemia_2020,new_deaths_sars_2020,new_deaths_total_2019,new_deaths_total_2020
2020-01-01,AC,1,1,0,2,4,3,1,0,0,1,1,8,2,2,0,10,14,,2,4,3,1,,,1,1,8,2,2,,10,14
2020-01-02,AC,1,1,0,2,10,3,2,0,0,1,1,14,4,4,0,17,24,,,6,,1,,,,,6,2,2,,7,10
2020-01-03,AC,1,1,0,2,16,3,4,0,0,1,1,22,7,6,0,25,37,,,6,,2,,,,,8,3,2,,8,13
2020-01-04,AC,1,1,0,2,18,6,5,0,0,1,2,26,7,7,0,31,43,,,2,3,1,,,,1,4,,1,,6,6
2020-01-05,AC,1,2,0,2,24,7,5,0,0,1,3,30,11,7,0,38,52,,,6,1,,,,,1,4,4,,,7,9
2020-01-06,AC,2,2,0,2,30,8,6,0,0,1,3,35,14,10,0,46,63,,,6,1,1,,,,,5,3,3,,8,11
2020-01-07,AC,2,2,0,3,36,9,7,0,0,1,4,41,17,12,0,55,75,,1,6,1,1,,,,1,6,3,2,,9,12
2020-01-08,AC,2,2,0,3,40,12,7,0,0,1,5,47,20,13,0,62,86,,,4,3,,,,,1,6,3,1,,7,11
2020-01-09,AC,2,2,0,3,45,14,7,0,0,1,7,52,23,14,0,69,97,,,5,2,,,,,2,5,3,1,,7,11
2020-01-10,AC,2,2,0,4,48,14,8,0,0,1,9,60,25,17,0,74,112,,1,3,,1,,,,2,8,2,3,,5,15
2020-01-11,AC,2,2,0,7,54,14,9,0,0,1,9,61,26,17,0,84,114,,3,6,,1,,,,,1,1,,,10,2
2020-01-12,AC,2,3,0,7,57,20,11,0,0,1,9,67,30,18,0,95,125,,,3,6,2,,,,,6,4,1,,11,11
2020-01-13,AC,3,3,0,8,62,20,14,0,0,1,12,73,32,20,0,104,138,,1,5,,3,,,,3,6,2,2,,9,13
2020-01-14,AC,3,3,0,9,68,25,16,0,0,1,12,78,35,22,0,118,148,,1,6,5,2,,,,,5,3,2,,14,10
2020-01-15,AC,3,3,0,9,72,27,18,0,0,1,13,83,39,22,0,126,158,,,4,2,2,,,,1,5,4,,,8,10
2020-01-16,AC,3,3,0,11,76,28,18,0,0,1,13,89,40,23,0,133,166,,2,4,1,,,,,,6,1,1,,7,8
2020-01-17,AC,3,3,0,12,77,29,19,0,0,1,13,94,43,24,0,137,175,,1,1,1,1,,,,,5,3,1,,4,9
2020-01-18,AC,3,3,0,13,85,32,20,0,0,1,14,106,44,25,0,150,190,,1,8,3,1,,,,1,12,1,1,,13,15
2020-01-19,AC,3,4,0,13,88,33,21,0,0,1,16,110,45,26,0,155,198,,,3,1,1,,,,2,4,1,1,,5,8
2020-01-20,AC,4,4,0,13,93,36,22,0,0,1,16,120,48,26,0,164,211,,,5,3,1,,,,,10,3,,,9,13
2020-01-21,AC,4,4,0,13,100,36,22,0,0,1,17,128,54,26,0,171,226,,,7,,,,,,1,8,6,,,7,15
2020-01-22,AC,4,4,0,14,104,39,22,0,0,1,17,131,54,27,0,179,230,,1,4,3,,,,,,3,,1,,8,4
2020-01-23,AC,4,4,0,14,111,40,23,0,0,2,18,141,54,27,0,188,242,,,7,1,1,,,1,1,10,,,,9,12
2020-01-24,AC,4,4,0,14,118,43,25,0,0,2,19,146,56,31,0,200,254,,,7,3,2,,,,1,5,2,4,,12,12
2020-01-25,AC,4,4,0,16,125,44,25,0,0,2,19,154,59,31,0,210,265,,2,7,1,,,,,,8,3,,,10,11
